Date,Ticker,Close,Volume,High,Low,DailyReturn,LogReturn,CumReturn,^VIX,SMA50,SMA200,EMA20,GoldenCross,DeathCross,RSI14,RSI_Overbought,RSI_Oversold,BB_Upper,BB_Mid,BB_Lower,BB_Upper_Breach,BB_Lower_Breach,ZScore,is_statistical_anomaly
2023-06-29,XOM,97.17607879638672,11364400,97.20340686779058,95.74621545601052,0.0123338483597046,0.0122584061471387,0.6588486576702557,13.539999961853027,97.78382934570313,96.80369937896728,95.82821738422786,1,0,53.90811677846692,0,0,99.05476385444163,95.94385795593261,92.8329520574236,0,0,0.8541361610092709,0
2023-06-30,XOM,97.677001953125,13544700,98.25076645617926,97.27627356777656,0.0051547990302003,0.0051415585355796,0.6673996891220635,13.59000015258789,97.63233337402343,96.86841110229493,96.0042921050752,1,0,55.57141388804664,0,0,99.20134794910824,96.12099723815918,93.04064652721011,0,0,0.3545194431850487,0
2023-07-03,XOM,97.86824035644533,7397000,98.77898148049384,97.51305187393864,0.0019578652036442,0.0019559510835519,0.6706642329539629,13.56999969482422,97.50145629882813,96.92367931365966,96.18181098615807,1,0,56.22094571941218,0,0,99.37609682720836,96.19840927124024,93.02072171527212,0,0,0.11243153526385923,0
2023-07-05,XOM,97.36734008789062,12491200,98.28718365037707,96.62963502839897,-0.0051181084561279,-0.0051312508351379,0.6621135922159307,14.18000030517578,97.35387954711913,96.98906490325928,96.29471851965641,1,0,53.99432177065303,0,0,99.48818196898439,96.27217903137208,93.05617609375976,0,0,-0.44546698308039184,0
2023-07-06,XOM,93.7334976196289,17961400,96.28357616661908,93.2872363058474,-0.0373209585984536,-0.0380352130786545,0.600081919654913,15.4399995803833,97.0940786743164,97.04348094940185,96.0507927196538,1,0,41.23529945859768,0,0,99.52718429495268,96.12509460449219,92.7230049140317,0,0,-2.672073957471403,0
2023-07-07,XOM,93.95206451416016,21929200,94.71708377867716,92.49487305114974,0.0023317906626956,0.0023290762576456,0.6038129757347124,14.829999923706056,96.86898712158204,97.09903434753419,95.85091384294012,0,1,42.12121371576765,0,0,99.16106219874845,95.8805606842041,92.60005916965974,0,0,0.24237164544134104,0
2023-07-10,XOM,95.3455047607422,14877600,95.40014701286874,93.57866449233664,0.0148313957100114,0.0147224860945505,0.6275997606226849,15.06999969482422,96.69108657836915,97.1649324798584,95.80277964463555,0,0,47.550074341485065,0,0,98.75988848585959,95.72118072509765,92.68247296433572,0,0,1.147910267581593,0
2023-07-11,XOM,96.51124572753906,12576500,96.684288778404,95.45478260411682,0.012226491114837,0.012152351274014,0.6474995946344491,14.84000015258789,96.51158050537111,97.2432814025879,95.87025260491207,0,0,51.63703612979146,0,0,98.56061800605205,95.6565170288086,92.75241605156513,0,0,0.8959342322336389,0
2023-07-12,XOM,96.98483276367188,13238200,98.0412959379772,96.6569653611912,0.0049070658301291,0.0048950654244407,0.6555839836004314,13.539999961853027,96.31427841186525,97.32568706512451,95.97640309622253,0,0,53.23141794875457,0,0,98.56978354984072,95.65970458984376,92.74962562984679,0,0,0.32379696661005963,0
2023-07-13,XOM,95.2088851928711,26826800,96.74804003322294,94.09777982516648,-0.0183116011049719,-0.0184813337161964,0.6252675900969598,13.609999656677246,96.14773086547854,97.42063442230224,95.9033061530462,0,0,46.97709121646815,0,0,98.4253967531928,95.57318382263183,92.72097089207087,0,0,-1.3509419364294986,0
2023-07-14,XOM,91.9302215576172,28181900,94.76262732578532,91.55681431979758,-0.034436530042465,-0.035043441358586,0.569299013903541,13.34000015258789,95.99813537597657,97.50705486297608,95.52491714395774,0,0,38.08144742128643,0,0,98.66203969661937,95.38101692199707,92.09999414737477,0,1,-2.3085220838535654,0
2023-07-17,XOM,92.33094787597656,18051300,92.59506367930028,91.27449161108628,0.0043590270051532,0.0043495539657836,0.576139630684307,13.479999542236328,95.89574066162112,97.58765705108642,95.2207295946262,0,0,39.58720777138913,0,0,98.68429952469697,95.17564506530762,91.66699060591827,0,0,0.3345002230934994,0
2023-07-18,XOM,91.91200256347656,24617800,93.07775021724716,91.38377098648547,-0.004537431079585,-0.0045477564656432,0.5689880057382743,13.300000190734863,95.8190968322754,97.65229824066162,94.90561273451672,0,0,38.53220623984286,0,0,98.76940087657918,94.98393402099609,91.19846716541299,0,0,-0.22016879924347563,0
